03/07/2017 14:20:56 Button clicked: Btn 1
03/07/2017 14:20:56 Button clicked: Btn 2
03/07/2017 14:20:57 Button clicked: Btn 3
03/07/2017 14:20:58 Button clicked: Btn 4
03/07/2017 14:20:58 Button clicked: Btn 5
08/07/2017 12:51:11 : STREAM b'IDAT' 159 1462
08/07/2017 12:51:11 : STREAM b'IHDR' 16 13
08/07/2017 12:51:11 : STREAM b'gAMA' 41 4
08/07/2017 12:51:11 : STREAM b'cHRM' 57 32
08/07/2017 12:51:11 : b'cHRM' 57 32 (unknown)
08/07/2017 12:51:11 : STREAM b'bKGD' 101 6
08/07/2017 12:51:11 : b'bKGD' 101 6 (unknown)
08/07/2017 12:51:11 : STREAM b'pHYs' 119 9
08/07/2017 12:51:11 : STREAM b'tIME' 140 7
08/07/2017 12:51:11 : b'tIME' 140 7 (unknown)
08/07/2017 12:51:11 : STREAM b'IDAT' 159 1462
08/07/2017 12:51:11 : STREAM b'IHDR' 16 13
08/07/2017 12:51:11 : STREAM b'gAMA' 41 4
08/07/2017 12:51:11 : STREAM b'cHRM' 57 32
08/07/2017 12:51:11 : b'cHRM' 57 32 (unknown)
08/07/2017 12:51:11 : STREAM b'bKGD' 101 6
08/07/2017 12:51:11 : b'bKGD' 101 6 (unknown)
08/07/2017 12:51:11 : STREAM b'pHYs' 119 9
08/07/2017 12:51:11 : STREAM b'tIME' 140 7
08/07/2017 12:51:11 : b'tIME' 140 7 (unknown)
08/07/2017 12:51:11 : STREAM b'IDAT' 159 1462
08/07/2017 13:00:03 : STREAM b'IHDR' 16 13
08/07/2017 13:00:03 : STREAM b'gAMA' 41 4
08/07/2017 13:00:03 : STREAM b'cHRM' 57 32
08/07/2017 13:00:03 : b'cHRM' 57 32 (unknown)
08/07/2017 13:00:03 : STREAM b'pHYs' 101 9
08/07/2017 13:00:03 : STREAM b'iTXt' 122 345
08/07/2017 13:00:03 : STREAM b'IDAT' 479 16384
08/07/2017 13:00:03 : STREAM b'IHDR' 16 13
08/07/2017 13:00:03 : STREAM b'gAMA' 41 4
08/07/2017 13:00:03 : STREAM b'cHRM' 57 32
08/07/2017 13:00:03 : b'cHRM' 57 32 (unknown)
08/07/2017 13:00:03 : STREAM b'bKGD' 101 6
08/07/2017 13:00:03 : b'bKGD' 101 6 (unknown)
08/07/2017 13:00:03 : STREAM b'pHYs' 119 9
08/07/2017 13:00:03 : STREAM b'tIME' 140 7
08/07/2017 13:00:03 : b'tIME' 140 7 (unknown)
08/07/2017 13:00:03 : STREAM b'IDAT' 159 1462
08/07/2017 13:00:03 : STREAM b'IHDR' 16 13
08/07/2017 13:00:03 : STREAM b'gAMA' 41 4
08/07/2017 13:00:03 : STREAM b'cHRM' 57 32
08/07/2017 13:00:03 : b'cHRM' 57 32 (unknown)
08/07/2017 13:00:03 : STREAM b'bKGD' 101 6
08/07/2017 13:00:03 : b'bKGD' 101 6 (unknown)
08/07/2017 13:00:03 : STREAM b'pHYs' 119 9
08/07/2017 13:00:03 : STREAM b'tIME' 140 7
08/07/2017 13:00:03 : b'tIME' 140 7 (unknown)
08/07/2017 13:00:03 : STREAM b'IDAT' 159 1462
08/07/2017 13:00:03 : STREAM b'IHDR' 16 13
08/07/2017 13:00:03 : STREAM b'gAMA' 41 4
08/07/2017 13:00:03 : STREAM b'cHRM' 57 32
08/07/2017 13:00:03 : b'cHRM' 57 32 (unknown)
08/07/2017 13:00:03 : STREAM b'bKGD' 101 6
08/07/2017 13:00:03 : b'bKGD' 101 6 (unknown)
08/07/2017 13:00:03 : STREAM b'pHYs' 119 9
